Symbol	Entrez	Name	Organism	HugoSymbol	Signature	logFC	adj.P.Val	CoreEnrichment
BUB1B	701	BUB1 mitotic checkpoint serine/threonine kinase B	human	BUB1B	TIS down	-1.839418	0.00000000001445594	
ANXA8L1	728113	annexin A8 like 1	human	ANXA8L1	TIS up	1.838299	0.00001533366	
ANXA8	653145	annexin A8	human	ANXA8	TIS up	1.838299	0.00001533366	
KIF18A	81930	kinesin family member 18A	human	KIF18A	TIS down	-1.835586	0.00000000003605103	
BUB1	699	BUB1 mitotic checkpoint serine/threonine kinase	human	BUB1	TIS down	-1.829132	0.00000005989336	
ADGRE1	2015	adhesion G protein-coupled receptor E1	human	ADGRE1	TIS up	1.828515	0.005334306	
PLA2G7	7941	phospholipase A2 group VII	human	PLA2G7	TIS up	1.827775	0.00213016	
PLS3	5358	plastin 3	human	PLS3	TIS up	1.827624	0.0001849765	
CRIP1	1396	cysteine rich protein 1	human	CRIP1	TIS down	-1.825884	0.00001305219	
EPHX1	2052	epoxide hydrolase 1	human	EPHX1	TIS up	1.823343	0.000006755142	
MIS18BP1	55320	MIS18 binding protein 1	human	MIS18BP1	TIS down	-1.817583	0.00000000004424531	
UBE2C	11065	ubiquitin conjugating enzyme E2 C	human	UBE2C	TIS down	-1.817248	0.0000000004366073	
FSCN1	6624	fascin actin-bundling protein 1	human	FSCN1	TIS up	1.811201	0.00304036	
CAVIN2	8436	caveolae associated protein 2	human	CAVIN2	TIS up	1.805605	0.0004836393	
MPEG1	219972	macrophage expressed 1	human	MPEG1	TIS up	1.804331	0.00008039368	
TTK	7272	TTK protein kinase	human	TTK	TIS down	-1.800441	0.000000002741128	
ARMCX2	9823	armadillo repeat containing, X-linked 2	human	ARMCX2	TIS up	1.799982	0.001099287	
DCN	1634	decorin	human	DCN	TIS up	1.797707	0.002847422	
SLC25A24	29957	solute carrier family 25 member 24	human	SLC25A24	TIS up	1.797438	0.0006578262	
COL1A1	1277	collagen type I alpha 1 chain	human	COL1A1	TIS up	1.794863	0.00003451337	
NCAPD2	9918	non-SMC condensin I complex subunit D2	human	NCAPD2	TIS down	-1.794377	0.0000000004740455	
RAI14	26064	retinoic acid induced 14	human	RAI14	TIS up	1.791798	0.0009240317	
FYB1	2533	FYN binding protein 1	human	FYB1	TIS up	1.790332	0.005092199	
NRN1	51299	neuritin 1	human	NRN1	TIS up	1.785894	0.00002427891	
CCNA2	890	cyclin A2	human	CCNA2	TIS down	-1.780007	0.0000000001310983	
CCR1	1230	C-C motif chemokine receptor 1	human	CCR1	TIS up	1.779745	0.0008630182	
USP18	11274	ubiquitin specific peptidase 18	human	USP18	TIS up	1.776749	0.002662742	
CD34	947	CD34 molecule	human	CD34	TIS up	1.775659	0.0001908333	
CDCA3	83461	cell division cycle associated 3	human	CDCA3	TIS down	-1.768748	0.0000000002365121	
BIRC5	332	baculoviral IAP repeat containing 5	human	BIRC5	TIS down	-1.764308	0.0000000009113153	
ECM1	1893	extracellular matrix protein 1	human	ECM1	TIS up	1.757016	0.000002806252	
DLK1	8788	delta like non-canonical Notch ligand 1	human	DLK1	TIS up	1.754731	0.00003611506	
THBS2	7058	thrombospondin 2	human	THBS2	TIS up	1.752041	0.0006066135	
NEK2	4751	NIMA related kinase 2	human	NEK2	TIS down	-1.7503	0.0000000004517347	
CEBPD	1052	CCAAT enhancer binding protein delta	human	CEBPD	TIS up	1.74277	0.0002424001	
CLEC4E	26253	C-type lectin domain family 4 member E	human	CLEC4E	TIS up	1.742682	0.00827547	
THBS1	7057	thrombospondin 1	human	THBS1	TIS up	1.741597	0.001199228	
KIF22	3835	kinesin family member 22	human	KIF22	TIS down	-1.739418	0.000000000744958	
IFIT1B	439996	interferon induced protein with tetratricopeptide repeats 1B	human	IFIT1B	TIS up	1.735973	0.000118702	
FSTL1	11167	follistatin like 1	human	FSTL1	TIS up	1.73302	0.001157132	yes
MIR22HG	84981	MIR22 host gene	human	MIR22HG	TIS up	1.732703	0.0000004302821	
UGT1A6	54578	UDP glucuronosyltransferase family 1 member A6	human	UGT1A6	TIS up	1.730539	0.006077676	
ECT2	1894	epithelial cell transforming 2	human	ECT2	TIS down	-1.72545	0.000000001828876	
C3	718	complement C3	human	C3	TIS up	1.722502	0.0009703485	
PLPP3	8613	phospholipid phosphatase 3	human	PLPP3	TIS up	1.721774	0.0001062812	yes
NCAPG	64151	non-SMC condensin I complex subunit G	human	NCAPG	TIS down	-1.719428	0.0000000007778788	
KIF20A	10112	kinesin family member 20A	human	KIF20A	TIS down	-1.707481	0.00000001818043	
E2F8	79733	E2F transcription factor 8	human	E2F8	TIS down	-1.703382	0.000000001673951	
RSAD2	91543	radical S-adenosyl methionine domain containing 2	human	RSAD2	TIS up	1.700548	0.0001584062	
PLK1	5347	polo like kinase 1	human	PLK1	TIS down	-1.699514	0.00000000008668418	
WWTR1	25937	WW domain containing transcription regulator 1	human	WWTR1	TIS up	1.697732	0.00009993829	
GINS1	9837	GINS complex subunit 1	human	GINS1	TIS down	-1.694719	0.00000000001932642	
KIF23	9493	kinesin family member 23	human	KIF23	TIS down	-1.692867	0.000000001507255	
LILRB3	11025	leukocyte immunoglobulin like receptor B3	human	LILRB3	TIS up	1.691674	0.0007499857	
CTSD	1509	cathepsin D	human	CTSD	TIS up	1.69046	0.0000005878838	
MARCKS	4082	myristoylated alanine rich protein kinase C substrate	human	MARCKS	TIS up	1.687276	0.0002602469	
LRR1	122769	leucine rich repeat protein 1	human	LRR1	TIS down	-1.684226	0.000000001751833	
ADAM8	101	ADAM metallopeptidase domain 8	human	ADAM8	TIS up	1.678186	0.001670472	
IL1RL1	9173	interleukin 1 receptor like 1	human	IL1RL1	TIS up	1.677328	0.0003730682	
FIGNL1	63979	fidgetin like 1	human	FIGNL1	TIS down	-1.674837	0.00000000003579784	
MDFIC	29969	MyoD family inhibitor domain containing	human	MDFIC	TIS up	1.67412	0.004588372	
CLEC6A	93978	C-type lectin domain containing 6A	human	CLEC6A	TIS up	1.672223	0.005031159	
CAVIN1	284119	caveolae associated protein 1	human	CAVIN1	TIS up	1.671963	0.0001221718	
RACGAP1	29127	Rac GTPase activating protein 1	human	RACGAP1	TIS down	-1.668972	0.000000001402311	
RBL1	5933	RB transcriptional corepressor like 1	human	RBL1	TIS down	-1.664764	0.000000004286976	
NCKAP1	10787	NCK associated protein 1	human	NCKAP1	TIS up	1.663849	0.0001457809	yes
PLOD2	5352	procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	human	PLOD2	TIS up	1.657921	0.005528608	
CD300A	11314	CD300a molecule	human	CD300A	TIS up	1.654395	0.0003451978	
CCL3L3	414062	C-C motif chemokine ligand 3 like 3	human	CCL3L3	TIS up	1.64115	0.004951649	
FBXO5	26271	F-box protein 5	human	FBXO5	TIS down	-1.639441	0.000000008967225	
ARHGAP19	84986	Rho GTPase activating protein 19	human	ARHGAP19	TIS down	-1.639143	0.00000000001983677	
PTX3	5806	pentraxin 3	human	PTX3	TIS up	1.637726	0.0009101801	
CDCA8	55143	cell division cycle associated 8	human	CDCA8	TIS down	-1.624658	0.00000000002907053	
COL5A2	1290	collagen type V alpha 2 chain	human	COL5A2	TIS up	1.618226	0.0006885672	
NCAPG2	54892	non-SMC condensin II complex subunit G2	human	NCAPG2	TIS down	-1.618105	0.0000000002653703	
SERPINF1	5176	serpin family F member 1	human	SERPINF1	TIS up	1.612957	0.00489511	
STMN1	3925	stathmin 1	human	STMN1	TIS down	-1.611078	0.0000000002473526	
PFN2	5217	profilin 2	human	PFN2	TIS up	1.610526	0.004314649	
GCAT	23464	glycine C-acetyltransferase	human	GCAT	TIS down	-1.610176	0.0000000009565349	
LOXL1	4016	lysyl oxidase like 1	human	LOXL1	TIS up	1.609952	0.00009643997	
CD109	135228	CD109 molecule	human	CD109	TIS up	1.606112	0.0001111672	
CENPK	64105	centromere protein K	human	CENPK	TIS down	-1.605499	0.0000000002473526	
FCGR3A	2214	Fc fragment of IgG receptor IIIa	human	FCGR3A	TIS up	1.604569	0.002560727	
FCGR3B	2215	Fc fragment of IgG receptor IIIb	human	FCGR3B	TIS up	1.604569	0.002560727	
SERPINE1	5054	serpin family E member 1	human	SERPINE1	TIS up	1.603646	0.001439371	
IFI16	3428	interferon gamma inducible protein 16	human	IFI16	TIS up	1.60097	0.002437661	
SAPCD2	89958	suppressor APC domain containing 2	human	SAPCD2	TIS down	-1.599926	0.000000002099708	
GBP2	2634	guanylate binding protein 2	human	GBP2	TIS up	1.597295	0.0005517136	
CTSC	1075	cathepsin C	human	CTSC	TIS up	1.594978	0.0002540621	yes
STIL	6491	STIL, centriolar assembly protein	human	STIL	TIS down	-1.592995	0.00000001776134	
ANGPTL2	23452	angiopoietin like 2	human	ANGPTL2	TIS up	1.59282	0.00004515191	
CIP2A	57650	cell proliferation regulating inhibitor of protein phosphatase 2A	human	CIP2A	TIS down	-1.592091	0.00000002209741	
KNL1	57082	kinetochore scaffold 1	human	KNL1	TIS down	-1.592055	0.00000000007299902	
TK1	7083	thymidine kinase 1	human	TK1	TIS down	-1.590704	0.0000000007402504	
RASGRP2	10235	RAS guanyl releasing protein 2	human	RASGRP2	TIS down	-1.590026	0.0000001120628	
COL6A1	1291	collagen type VI alpha 1 chain	human	COL6A1	TIS up	1.583221	0.00001401066	
VCAN	1462	versican	human	VCAN	TIS up	1.578265	0.0003037476	
IGFBP6	3489	insulin like growth factor binding protein 6	human	IGFBP6	TIS up	1.575706	0.0004551878	
IL10	3586	interleukin 10	human	IL10	TIS up	1.574186	0.0004901297	
FOSL2	2355	FOS like 2, AP-1 transcription factor subunit	human	FOSL2	TIS up	1.572426	0.00004401507	
HMGB2	3148	high mobility group box 2	human	HMGB2	TIS down	-1.567338	0.00000000006330761	
TPX2	22974	TPX2, microtubule nucleation factor	human	TPX2	TIS down	-1.565757	0.000000004247601	
WLS	79971	wntless Wnt ligand secretion mediator	human	WLS	TIS up	1.560907	0.0004749142	yes
HMGN5	79366	high mobility group nucleosome binding domain 5	human	HMGN5	TIS down	-1.560466	0.00000000008682077	
POLH	5429	DNA polymerase eta	human	POLH	TIS down	-1.55996	0.000000201186	
XDH	7498	xanthine dehydrogenase	human	XDH	TIS up	1.558721	0.001268495	
PRRX1	5396	paired related homeobox 1	human	PRRX1	TIS up	1.556598	0.00006331547	yes
FANCD2	2177	Fanconi anemia complementation group D2	human	FANCD2	TIS down	-1.556108	0.0000000002734776	
SGO1	151648	shugoshin 1	human	SGO1	TIS down	-1.553545	0.00000000005302945	
MND1	84057	meiotic nuclear divisions 1	human	MND1	TIS down	-1.548045	0.00000002178801	
NRM	11270	nurim	human	NRM	TIS down	-1.538679	0.0000001856519	
SPEG	10290	SPEG complex locus	human	SPEG	TIS up	1.536707	0.001919942	
ESPL1	9700	extra spindle pole bodies like 1, separase	human	ESPL1	TIS down	-1.535721	0.00000001283628	
VPREB3	29802	V-set pre-B cell surrogate light chain 3	human	VPREB3	TIS down	-1.534096	0.000267099	
EPB41L3	23136	erythrocyte membrane protein band 4.1 like 3	human	EPB41L3	TIS up	1.53375	0.00009784121	
SERPINB1	1992	serpin family B member 1	human	SERPINB1	TIS down	-1.531934	0.000002234066	
PROCR	10544	protein C receptor	human	PROCR	TIS up	1.531039	0.0008808198	
MARCH1	55016	membrane associated ring-CH-type finger 1	human	MARCH1	TIS up	1.530951	0.0003527052	
KLF6	1316	Kruppel like factor 6	human	KLF6	TIS up	1.527175	0.00000003336968	
BRCA1	672	BRCA1, DNA repair associated	human	BRCA1	TIS down	-1.52713	0.000001352327	
ZNF365	22891	zinc finger protein 365	human	ZNF365	TIS up	1.526715	0.0008027942	
CD300LF	146722	CD300 molecule like family member f	human	CD300LF	TIS up	1.526342	0.00002188201	
EFEMP2	30008	EGF containing fibulin extracellular matrix protein 2	human	EFEMP2	TIS up	1.523869	0.0005359311	
CENPA	1058	centromere protein A	human	CENPA	TIS down	-1.515602	0.00000002948166	
S100A6	6277	S100 calcium binding protein A6	human	S100A6	TIS up	1.51417	0.001146274	
AIF1	199	allograft inflammatory factor 1	human	AIF1	TIS up	1.508252	0.003525982	
SEMA3C	10512	semaphorin 3C	human	SEMA3C	TIS up	1.507684	0.001186229	
TCEAL8	90843	transcription elongation factor A like 8	human	TCEAL8	TIS up	1.503966	0.0002295051	
FAT1	2195	FAT atypical cadherin 1	human	FAT1	TIS up	1.502547	0.0003246114	
CD300LD	100131439	CD300 molecule like family member d	human	CD300LD	TIS up	1.502164	0.0006947727	
COL5A1	1289	collagen type V alpha 1 chain	human	COL5A1	TIS up	1.498927	0.0005002809	
CSF2RB	1439	colony stimulating factor 2 receptor beta common subunit	human	CSF2RB	TIS up	1.497762	0.0002965191	
CD68	968	CD68 molecule	human	CD68	TIS up	1.4948	0.0009383078	
TRIP13	9319	thyroid hormone receptor interactor 13	human	TRIP13	TIS down	-1.493377	0.0000000008653529	
CDCA5	113130	cell division cycle associated 5	human	CDCA5	TIS down	-1.492315	0.000000007963893	
CDC6	990	cell division cycle 6	human	CDC6	TIS down	-1.492032	0.00000001197977	
PDGFRA	5156	platelet derived growth factor receptor alpha	human	PDGFRA	TIS up	1.491938	0.0001041314	
SIRPA	140885	signal regulatory protein alpha	human	SIRPA	TIS up	1.4895	0.0003692604	
MYBL2	4605	MYB proto-oncogene like 2	human	MYBL2	TIS down	-1.486573	0.000000003253217	
TMPO	7112	thymopoietin	human	TMPO	TIS down	-1.485792	0.000000000005566463	
SPC24	147841	SPC24, NDC80 kinetochore complex component	human	SPC24	TIS down	-1.485503	0.00000000009471732	
NEAT1	283131	nuclear paraspeckle assembly transcript 1 (non-protein coding)	human	NEAT1	TIS up	1.481905	0.0000004046329	
CENPI	2491	centromere protein I	human	CENPI	TIS down	-1.48173	0.00000001100455	
DUSP4	1846	dual specificity phosphatase 4	human	DUSP4	TIS up	1.480226	0.0006346569	
PHLDA3	23612	pleckstrin homology like domain family A member 3	human	PHLDA3	TIS up	1.479134	0.0000009235718	
KIF20B	9585	kinesin family member 20B	human	KIF20B	TIS down	-1.475882	0.000000005452377	
DSCC1	79075	DNA replication and sister chromatid cohesion 1	human	DSCC1	TIS down	-1.475154	0.000007114475	
HIST1H2AL	8332	histone cluster 1 H2A family member l	human	HIST1H2AL	TIS down	-1.474267	0.0000001440062	
RAD54B	25788	RAD54 homolog B	human	RAD54B	TIS down	-1.47365	0.000001473365	
ACKR3	57007	atypical chemokine receptor 3	human	ACKR3	TIS up	1.465729	0.001074861	
HASPIN	83903	histone H3 associated protein kinase	human	HASPIN	TIS down	-1.463563	0.0000001097012	
DTL	51514	denticleless E3 ubiquitin protein ligase homolog	human	DTL	TIS down	-1.463521	0.000000002050739	
PEA15	8682	proliferation and apoptosis adaptor protein 15	human	PEA15	TIS up	1.461851	0.0008124968	
SQSTM1	8878	sequestosome 1	human	SQSTM1	TIS up	1.461698	0.0000000008967525	
MMP9	4318	matrix metallopeptidase 9	human	MMP9	TIS up	1.460678	0.001419938	yes
RFC4	5984	replication factor C subunit 4	human	RFC4	TIS down	-1.460248	0.000000000008330796	
TNFRSF1B	7133	TNF receptor superfamily member 1B	human	TNFRSF1B	TIS up	1.459796	0.0000226147	
DNASE1L1	1774	deoxyribonuclease 1 like 1	human	DNASE1L1	TIS up	1.458667	0.000001795409	
ITGAM	3684	integrin subunit alpha M	human	ITGAM	TIS up	1.456924	0.003758345	yes
NCAPD3	23310	non-SMC condensin II complex subunit D3	human	NCAPD3	TIS down	-1.454699	0.000000000488942	
NCAPH	23397	non-SMC condensin I complex subunit H	human	NCAPH	TIS down	-1.453345	0.000000000232547	
EXT1	2131	exostosin glycosyltransferase 1	human	EXT1	TIS up	1.452489	0.00006564538	
CYR61	3491	cysteine rich angiogenic inducer 61	human	CYR61	TIS up	1.450108	0.00004910951	
FAM72A	729533	family with sequence similarity 72 member A	human	FAM72A	TIS down	-1.449092	0.0000000002299477	
LIG1	3978	DNA ligase 1	human	LIG1	TIS down	-1.44884	0.0000000004366073	
CHEK1	1111	checkpoint kinase 1	human	CHEK1	TIS down	-1.448728	0.000000001065222	
ACTN1	87	actinin alpha 1	human	ACTN1	TIS up	1.448343	0.0001663898	
KIF2C	11004	kinesin family member 2C	human	KIF2C	TIS down	-1.446717	0.0000000199949	
PLK4	10733	polo like kinase 4	human	PLK4	TIS down	-1.444532	0.0000000001336473	
MALAT1	378938	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)	human	MALAT1	TIS up	1.444418	0.000004910171	
CDKN3	1033	cyclin dependent kinase inhibitor 3	human	CDKN3	TIS down	-1.443363	0.0000006419356	
PILRA	29992	paired immunoglobin like type 2 receptor alpha	human	PILRA	TIS up	1.440045	0.005059172	
MMP2	4313	matrix metallopeptidase 2	human	MMP2	TIS up	1.438724	0.0004709853	
AURKA	6790	aurora kinase A	human	AURKA	TIS down	-1.438188	0.000000007918827	
TMEM140	55281	transmembrane protein 140	human	TMEM140	TIS up	1.437057	0.000000002987274	
FNDC3B	64778	fibronectin type III domain containing 3B	human	FNDC3B	TIS up	1.432856	0.005114298	
SPAG5	10615	sperm associated antigen 5	human	SPAG5	TIS down	-1.432409	0.00000001855699	
HCK	3055	HCK proto-oncogene, Src family tyrosine kinase	human	HCK	TIS up	1.429814	0.008927746	
CCDC18	343099	coiled-coil domain containing 18	human	CCDC18	TIS down	-1.428358	0.00000009280089	
UHRF1	29128	ubiquitin like with PHD and ring finger domains 1	human	UHRF1	TIS down	-1.425175	0.00000001400301	
MELK	9833	maternal embryonic leucine zipper kinase	human	MELK	TIS down	-1.425141	0.00000003700125	
SLAMF9	89886	SLAM family member 9	human	SLAMF9	TIS up	1.423867	0.000007168087	
IFIT3	3437	interferon induced protein with tetratricopeptide repeats 3	human	IFIT3	TIS up	1.422814	0.00007672812	
TOP2A	7153	DNA topoisomerase II alpha	human	TOP2A	TIS down	-1.422572	0.0000002282573	
BORA	79866	bora, aurora kinase A activator	human	BORA	TIS down	-1.42232	0.00000000002907053	
PRIM1	5557	DNA primase subunit 1	human	PRIM1	TIS down	-1.420071	0.000000001402311	
ACSS1	84532	acyl-CoA synthetase short chain family member 1	human	ACSS1	TIS down	-1.419133	0.00009635953	
FABP7	2173	fatty acid binding protein 7	human	FABP7	TIS up	1.416446	0.00007901778	
TSPAN17	26262	tetraspanin 17	human	TSPAN17	TIS up	1.41532	0.000001683894	
CCDC34	91057	coiled-coil domain containing 34	human	CCDC34	TIS down	-1.413666	0.0000000005448763	
CSF1	1435	colony stimulating factor 1	human	CSF1	TIS up	1.413606	0.00003843807	
CENPW	387103	centromere protein W	human	CENPW	TIS down	-1.413278	0.00000000007299902	
GREM2	64388	gremlin 2, DAN family BMP antagonist	human	GREM2	TIS up	1.410334	0.00008728738	
CYP51A1	1595	cytochrome P450 family 51 subfamily A member 1	human	CYP51A1	TIS down	-1.410007	0.00007547673	
TLR2	7097	toll like receptor 2	human	TLR2	TIS up	1.407625	0.0004601058	
MAD2L1	4085	mitotic arrest deficient 2 like 1	human	MAD2L1	TIS down	-1.40671	0.0000000001418453	
CDCA7	83879	cell division cycle associated 7	human	CDCA7	TIS down	-1.405062	0.0000000001336473	
STARD4	134429	StAR related lipid transfer domain containing 4	human	STARD4	TIS down	-1.404365	0.000001140711	
ATAD5	79915	ATPase family, AAA domain containing 5	human	ATAD5	TIS down	-1.404318	0.000000001052181	
CDK1	983	cyclin dependent kinase 1	human	CDK1	TIS down	-1.403327	0.00000000552059	
LHFPL6	10186	LHFPL tetraspan subfamily member 6	human	LHFPL6	TIS up	1.402938	0.003756321	
VOPP1	81552	VOPP1, WBP1/VOPP1 family member	human	VOPP1	TIS up	1.402502	0.00001451814	
AUNIP	79000	aurora kinase A and ninein interacting protein	human	AUNIP	TIS down	-1.402083	0.00000000369668	
NRXN1	9378	neurexin 1	human	NRXN1	TIS down	-1.40026	0.0007085721	
ARHGAP24	83478	Rho GTPase activating protein 24	human	ARHGAP24	TIS up	1.400187	0.0003301926	
S100A4	6275	S100 calcium binding protein A4	human	S100A4	TIS up	1.399977	0.006455825	
SKP2	6502	S-phase kinase associated protein 2	human	SKP2	TIS down	-1.399642	0.000000003322327	
VSIR	64115	V-set immunoregulatory receptor	human	VSIR	TIS up	1.395153	0.000005915865	
LRP11	84918	LDL receptor related protein 11	human	LRP11	TIS up	1.393798	0.00003112755	
PLD4	122618	phospholipase D family member 4	human	PLD4	TIS up	1.393301	0.00000187093	
MCUB	55013	mitochondrial calcium uniporter dominant negative beta subunit	human	MCUB	TIS up	1.391894	0.007093688	
RGS1	5996	regulator of G protein signaling 1	human	RGS1	TIS up	1.38952	0.004094339	
CTSB	1508	cathepsin B	human	CTSB	TIS up	1.38547	0.00006481145	
MCM5	4174	minichromosome maintenance complex component 5	human	MCM5	TIS down	-1.384826	0.00000001258516	
NDC80	10403	NDC80, kinetochore complex component	human	NDC80	TIS down	-1.384124	0.000000003166719	
CENPS	378708	centromere protein S	human	CENPS	TIS down	-1.382794	0.000000009011522	
ACVR1	90	activin A receptor type 1	human	ACVR1	TIS up	1.381917	0.0007499857	
CAV2	858	caveolin 2	human	CAV2	TIS up	1.381643	0.005361213	
HIRIP3	8479	HIRA interacting protein 3	human	HIRIP3	TIS down	-1.381545	0.000000003114085	
FOXG1	2290	forkhead box G1	human	FOXG1	TIS up	1.381421	0.003073744	
ABLIM1	3983	actin binding LIM protein 1	human	ABLIM1	TIS down	-1.380623	0.00000007100244	
C1orf112	55732	chromosome 1 open reading frame 112	human	C1orf112	TIS down	-1.380221	0.0000000001861354	
EGR3	1960	early growth response 3	human	EGR3	TIS up	1.380117	0.008166077	
SERPINB6	5269	serpin family B member 6	human	SERPINB6	TIS up	1.379972	0.003311453	
APP	351	amyloid beta precursor protein	human	APP	TIS up	1.379759	0.001381161	
RHOB	388	ras homolog family member B	human	RHOB	TIS up	1.37889	0.000000004023878	
POC1A	25886	POC1 centriolar protein A	human	POC1A	TIS down	-1.378051	0.000000000001113108	
AQP1	358	aquaporin 1 (Colton blood group)	human	AQP1	TIS up	1.377519	0.0008866326	
RBP1	5947	retinol binding protein 1	human	RBP1	TIS up	1.37579	0.001266729	
P2RX4	5025	purinergic receptor P2X 4	human	P2RX4	TIS up	1.375643	0.00000006656872	
OAF	220323	out at first homolog	human	OAF	TIS up	1.374617	0.0003563683	
ITGAL	3683	integrin subunit alpha L	human	ITGAL	TIS up	1.374082	0.002113423	
KIF4A	24137	kinesin family member 4A	human	KIF4A	TIS down	-1.373264	0.000000001187665	
PARPBP	55010	PARP1 binding protein	human	PARPBP	TIS down	-1.370867	0.000000001956971	
ACTA2	59	actin, alpha 2, smooth muscle, aorta	human	ACTA2	TIS up	1.369439	0.00002412653	
HAUS4	54930	HAUS augmin like complex subunit 4	human	HAUS4	TIS down	-1.36849	0.00000000006393613	
COL4A5	1287	collagen type IV alpha 5 chain	human	COL4A5	TIS up	1.368005	0.002099344	
COL6A3	1293	collagen type VI alpha 3 chain	human	COL6A3	TIS up	1.36036	0.0001901416	
SELL	6402	selectin L	human	SELL	TIS down	-1.359075	0.002759363	
FAM129B	64855	family with sequence similarity 129 member B	human	FAM129B	TIS up	1.357617	0.00009758158	
TRAIP	10293	TRAF interacting protein	human	TRAIP	TIS down	-1.35697	0.000000004639523	
HSPB8	26353	heat shock protein family B (small) member 8	human	HSPB8	TIS up	1.356621	0.0001485818	
IDI1	3422	isopentenyl-diphosphate delta isomerase 1	human	IDI1	TIS down	-1.353599	0.0001420436	
SKA3	221150	spindle and kinetochore associated complex subunit 3	human	SKA3	TIS down	-1.353361	0.000000001520369	
TACC3	10460	transforming acidic coiled-coil containing protein 3	human	TACC3	TIS down	-1.353177	0.000000001436639	
SLC31A2	1318	solute carrier family 31 member 2	human	SLC31A2	TIS up	1.35212	0.00002169058	
TNC	3371	tenascin C	human	TNC	TIS up	1.351468	0.0004879283	
TGFBR3	7049	transforming growth factor beta receptor 3	human	TGFBR3	TIS up	1.346588	0.00110546	
FBLN5	10516	fibulin 5	human	FBLN5	TIS up	1.345996	0.0002364317	
ASPM	259266	abnormal spindle microtubule assembly	human	ASPM	TIS down	-1.344146	0.000001560088	
PTGIR	5739	prostaglandin I2 receptor	human	PTGIR	TIS up	1.342279	0.0004299185	
SQOR	58472	sulfide quinone oxidoreductase	human	SQOR	TIS up	1.341434	0.0009715652	
GHR	2690	growth hormone receptor	human	GHR	TIS up	1.341301	0.0003301926	
E2F7	144455	E2F transcription factor 7	human	E2F7	TIS down	-1.3386	0.000001064935	
SULF2	55959	sulfatase 2	human	SULF2	TIS up	1.337455	0.000003733353	
FERMT2	10979	fermitin family member 2	human	FERMT2	TIS up	1.334352	0.0007942287	
ATP6V0A1	535	ATPase H+ transporting V0 subunit a1	human	ATP6V0A1	TIS up	1.334249	0.0000000001599834	
HMMR	3161	hyaluronan mediated motility receptor	human	HMMR	TIS down	-1.332562	0.000000003810424	
STX3	6809	syntaxin 3	human	STX3	TIS up	1.332112	0.00005743213	
KNTC1	9735	kinetochore associated 1	human	KNTC1	TIS down	-1.331775	0.0000001379834	
CTSV	1515	cathepsin V	human	CTSV	TIS up	1.331638	0.004506544	
P2RY6	5031	pyrimidinergic receptor P2Y6	human	P2RY6	TIS up	1.330777	0.00946213	
RAD51	5888	RAD51 recombinase	human	RAD51	TIS down	-1.327722	0.0000001389465	
RAD54L	8438	RAD54 like	human	RAD54L	TIS down	-1.327005	0.0000000995418	
CCR5	1234	C-C motif chemokine receptor 5 (gene/pseudogene)	human	CCR5	TIS up	1.326796	0.001097247	
GPX8	493869	glutathione peroxidase 8 (putative)	human	GPX8	TIS up	1.324686	0.0008672003	yes
TPM2	7169	tropomyosin 2	human	TPM2	TIS up	1.324272	0.0001027573	
AKAP2	11217	A-kinase anchoring protein 2	human	AKAP2	TIS up	1.323254	0.0004697415	
CA13	377677	carbonic anhydrase 13	human	CA13	TIS up	1.322655	0.00135297	
CCNE2	9134	cyclin E2	human	CCNE2	TIS down	-1.322324	0.0000002119221	
PTPRE	5791	protein tyrosine phosphatase, receptor type E	human	PTPRE	TIS up	1.322147	0.0002968561	
LAMB1	3912	laminin subunit beta 1	human	LAMB1	TIS up	1.320769	0.001011075	
CPNE2	221184	copine 2	human	CPNE2	TIS up	1.319236	0.000000002479785	
GNS	2799	glucosamine (N-acetyl)-6-sulfatase	human	GNS	TIS up	1.317393	0.00000002605295	
DEPDC1B	55789	DEP domain containing 1B	human	DEPDC1B	TIS down	-1.317187	0.00000001353745	
LGALS3BP	3959	galectin 3 binding protein	human	LGALS3BP	TIS up	1.31618	0.00005500409	
DLGAP5	9787	DLG associated protein 5	human	DLGAP5	TIS down	-1.310767	0.00000002348876	
ITPRIPL2	162073	ITPRIP like 2	human	ITPRIPL2	TIS up	1.309089	0.0008940399	
PEBP1	5037	phosphatidylethanolamine binding protein 1	human	PEBP1	TIS down	-1.307816	0.000003391978	
SMC4	10051	structural maintenance of chromosomes 4	human	SMC4	TIS down	-1.307008	0.0000000007734684	
CDCA2	157313	cell division cycle associated 2	human	CDCA2	TIS down	-1.306235	0.000000007787089	
GMNN	51053	geminin, DNA replication inhibitor	human	GMNN	TIS down	-1.305765	0.0000000002204207	
RHOC	389	ras homolog family member C	human	RHOC	TIS up	1.304035	0.001688547	
HMGB1	3146	high mobility group box 1	human	HMGB1	TIS down	-1.299816	0.00000000005005228	
SIRPB1	10326	signal regulatory protein beta 1	human	SIRPB1	TIS up	1.299102	0.004013318	
UBE2T	29089	ubiquitin conjugating enzyme E2 T	human	UBE2T	TIS down	-1.298885	0.0000007294938	
UGT1A10	54575	UDP glucuronosyltransferase family 1 member A10	human	UGT1A10	TIS up	1.297312	0.005490502	
UGT1A8	54576	UDP glucuronosyltransferase family 1 member A8	human	UGT1A8	TIS up	1.297312	0.005490502	
